,OverallQual,BsmtFinSF1,1stFlrSF,FullBath,BedroomAbvGr,Fireplaces,GarageArea,MoSold,YrSold,SalePrice
0,7,8,856,2,3,0,548,2,2008,208500
1,6,1,1262,2,3,1,460,5,2007,181500
2,7,329,920,2,3,1,608,9,2008,223500
3,7,3,961,1,3,1,642,2,2006,140000
4,8,4,1145,2,4,1,836,12,2008,250000
5,5,5,796,1,1,0,480,10,2009,143000
6,8,6,1694,2,3,1,636,8,2007,307000
7,7,7,1107,2,3,2,484,11,2009,200000
8,7,8,1022,2,2,2,468,4,2008,129900
9,5,9,1077,1,2,2,205,1,2008,118000
10,5,10,1040,1,3,0,384,2,2008,129500
11,9,11,1182,3,4,2,736,7,2006,345000
12,5,12,912,1,2,0,352,9,2008,144000
13,7,8,1494,2,3,1,840,8,2007,279500
14,6,13,1253,1,2,1,352,5,2008,157000
15,7,8,854,1,2,0,576,7,2007,132000
16,6,14,1004,1,2,1,480,3,2010,149000
17,4,8,1296,2,2,0,516,10,2006,90000
18,5,15,1114,1,3,0,576,6,2008,159000
19,5,297,1339,1,3,0,294,5,2009,139000
20,8,8,1158,3,4,1,853,11,2006,325300
21,7,8,1108,1,3,1,280,6,2007,139400
22,8,8,1795,2,3,1,534,9,2008,230000
23,5,17,1060,1,3,1,572,6,2007,129900
24,5,18,1060,1,3,1,270,5,2010,154000
25,8,8,1600,2,3,1,890,7,2009,256300
26,5,19,900,1,3,0,576,5,2010,134800
27,8,386,1704,2,3,1,772,5,2010,306000
28,5,21,1600,1,2,2,319,12,2006,207500
29,4,8,520,1,1,0,240,5,2008,68500
30,4,8,649,1,3,0,250,7,2008,40000
31,5,8,1228,1,3,0,271,6,2008,149350
32,8,8,1234,2,3,0,484,1,2008,179900
33,5,22,1700,1,4,1,447,4,2010,165500
34,9,23,1561,2,2,1,556,8,2007,277500
35,8,8,1132,3,4,1,691,9,2006,309000
36,5,8,1097,1,3,0,672,6,2009,145000
37,5,55,1297,1,3,1,498,10,2009,153000
38,5,627,1057,1,3,0,246,1,2010,109000
39,4,8,1152,2,2,0,0,6,2008,82000
40,6,26,1324,2,3,1,440,12,2006,160000
41,5,551,1328,1,2,2,308,7,2007,170000
42,5,435,884,1,2,0,504,12,2007,144000
43,5,29,938,1,3,0,308,7,2008,130250
44,5,30,1150,1,3,0,300,5,2006,141000
45,9,31,1752,2,2,1,576,2,2010,319900
46,7,32,1518,1,1,1,670,8,2009,239686
47,8,55,1656,2,3,0,826,7,2007,249700
48,4,8,736,2,2,0,0,6,2009,113000
49,5,34,955,1,3,0,386,1,2007,127000
50,6,226,794,2,3,0,388,7,2007,177000
51,6,8,816,1,3,1,528,9,2006,114500
52,5,136,816,1,2,0,516,5,2010,110000
53,9,37,1842,0,0,1,894,11,2006,385000
54,5,38,1360,1,3,1,572,2,2007,130000
55,6,39,1425,2,3,1,576,7,2008,180500
