,LotFrontage,OverallQual,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,1stFlrSF,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SalePrice
0,65,7,2003,8,150,856,1,2,1,3,8,0,2,548,0,61,2,2008,208500
1,80,6,1976,1,284,1262,0,2,0,3,6,1,2,460,298,0,5,2007,181500
2,68,7,2002,329,434,920,1,2,1,3,6,1,2,608,0,42,9,2008,223500
3,60,7,1970,3,540,961,1,1,0,3,7,1,3,642,0,35,2,2006,140000
4,84,8,2000,4,490,1145,1,2,1,4,9,1,3,836,192,84,12,2008,250000
5,85,5,1995,5,64,796,1,1,1,1,5,0,2,480,40,30,10,2009,143000
6,75,8,2005,6,317,1694,1,2,0,3,7,1,2,636,255,57,8,2007,307000
7,0,7,1973,7,216,1107,1,2,1,3,7,2,2,484,235,204,11,2009,200000
8,51,7,1950,8,952,1022,0,2,0,2,8,2,2,468,90,0,4,2008,129900
9,50,5,1950,9,140,1077,1,1,0,2,5,2,1,205,0,4,1,2008,118000
10,70,5,1965,10,134,1040,1,1,0,3,5,0,1,384,0,0,2,2008,129500
11,85,9,2006,11,177,1182,1,3,0,4,11,2,3,736,147,21,7,2006,345000
12,0,5,1962,12,175,912,1,1,0,2,4,0,1,352,140,0,9,2008,144000
13,91,7,2007,8,1494,1494,0,2,0,3,7,1,3,840,160,33,8,2007,279500
14,0,6,1960,13,520,1253,1,1,1,2,5,1,1,352,0,213,5,2008,157000
15,51,7,2001,8,832,854,0,1,0,2,5,0,2,576,48,112,7,2007,132000
16,0,6,1970,14,426,1004,1,1,0,2,5,1,2,480,0,0,3,2010,149000
17,72,4,1967,8,0,1296,0,2,0,2,6,0,2,516,0,0,10,2006,90000
18,66,5,2004,15,468,1114,1,1,1,3,6,0,2,576,0,102,6,2008,159000
19,70,5,1965,297,525,1339,0,1,0,3,6,0,1,294,0,0,5,2009,139000
20,101,8,2006,8,1158,1158,0,3,1,4,9,1,3,853,240,154,11,2006,325300
21,57,7,1950,8,637,1108,0,1,0,3,6,1,1,280,0,0,6,2007,139400
22,75,8,2002,8,1777,1795,0,2,0,3,7,1,2,534,171,159,9,2008,230000
23,44,5,1976,17,200,1060,1,1,0,3,6,1,2,572,100,110,6,2007,129900
24,0,5,2001,18,204,1060,1,1,0,3,6,1,1,270,406,90,5,2010,154000
25,110,8,2007,8,1566,1600,0,2,0,3,7,1,3,890,0,56,7,2009,256300
26,60,5,2000,19,180,900,0,1,0,3,5,0,2,576,222,32,5,2010,134800
27,98,8,2008,386,486,1704,1,2,0,3,7,1,3,772,0,50,5,2010,306000
28,47,5,1997,21,207,1600,1,1,0,2,6,2,1,319,288,258,12,2006,207500
29,60,4,1950,8,520,520,0,1,0,1,4,0,1,240,49,0,5,2008,68500
30,50,4,1950,8,649,649,0,1,0,3,6,0,1,250,0,54,7,2008,40000
