,MSSubClass,LotFrontage,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SalePrice
0,60,65,7,5,2003,2003,196,8,0,150,856,856,854,1710,1,2,1,3,8,0,2,548,0,61,0,2,2008,208500
1,20,80,6,8,1976,1976,0,1,0,284,1262,1262,0,1262,0,2,0,3,6,1,2,460,298,0,0,5,2007,181500
2,60,68,7,5,2001,2002,162,329,0,434,920,920,866,1786,1,2,1,3,6,1,2,608,0,42,0,9,2008,223500
3,70,60,7,5,1915,1970,0,3,0,540,756,961,756,1717,1,1,0,3,7,1,3,642,0,35,272,2,2006,140000
4,60,84,8,5,2000,2000,350,4,0,490,1145,1145,1053,2198,1,2,1,4,9,1,3,836,192,84,0,12,2008,250000
5,50,85,5,5,1993,1995,0,5,0,64,796,796,566,1362,1,1,1,1,5,0,2,480,40,30,0,10,2009,143000
6,20,75,8,5,2004,2005,186,6,0,317,1686,1694,0,1694,1,2,0,3,7,1,2,636,255,57,0,8,2007,307000
7,60,0,7,6,1973,1973,240,7,32,216,1107,1107,983,2090,1,2,1,3,7,2,2,484,235,204,228,11,2009,200000
8,50,51,7,5,1931,1950,0,8,0,952,952,1022,752,1774,0,2,0,2,8,2,2,468,90,0,205,4,2008,129900
9,190,50,5,6,1939,1950,0,9,0,140,991,1077,0,1077,1,1,0,2,5,2,1,205,0,4,0,1,2008,118000
10,20,70,5,5,1965,1965,0,10,0,134,1040,1040,0,1040,1,1,0,3,5,0,1,384,0,0,0,2,2008,129500
11,60,85,9,5,2005,2006,286,11,0,177,1175,1182,1142,2324,1,3,0,4,11,2,3,736,147,21,0,7,2006,345000
12,20,0,5,6,1962,1962,0,12,0,175,912,912,0,912,1,1,0,2,4,0,1,352,140,0,0,9,2008,144000
13,20,91,7,5,2006,2007,306,8,0,1494,1494,1494,0,1494,0,2,0,3,7,1,3,840,160,33,0,8,2007,279500
14,20,0,6,5,1960,1960,212,13,0,520,1253,1253,0,1253,1,1,1,2,5,1,1,352,0,213,176,5,2008,157000
15,45,51,7,8,1929,2001,0,8,0,832,832,854,0,854,0,1,0,2,5,0,2,576,48,112,0,7,2007,132000
16,20,0,6,7,1970,1970,180,14,0,426,1004,1004,0,1004,1,1,0,2,5,1,2,480,0,0,0,3,2010,149000
17,90,72,4,5,1967,1967,0,8,0,0,0,1296,0,1296,0,2,0,2,6,0,2,516,0,0,0,10,2006,90000
18,20,66,5,5,2004,2004,0,15,0,468,1114,1114,0,1114,1,1,1,3,6,0,2,576,0,102,0,6,2008,159000
19,20,70,5,6,1958,1965,0,297,0,525,1029,1339,0,1339,0,1,0,3,6,0,1,294,0,0,0,5,2009,139000
20,60,101,8,5,2005,2006,380,8,0,1158,1158,1158,1218,2376,0,3,1,4,9,1,3,853,240,154,0,11,2006,325300
21,45,57,7,7,1930,1950,0,8,0,637,637,1108,0,1108,0,1,0,3,6,1,1,280,0,0,205,6,2007,139400
22,20,75,8,5,2002,2002,281,8,0,1777,1777,1795,0,1795,0,2,0,3,7,1,2,534,171,159,0,9,2008,230000
23,120,44,5,7,1976,1976,0,17,0,200,1040,1060,0,1060,1,1,0,3,6,1,2,572,100,110,0,6,2007,129900
24,20,0,5,8,1968,2001,0,18,668,204,1060,1060,0,1060,1,1,0,3,6,1,1,270,406,90,0,5,2010,154000
25,20,110,8,5,2007,2007,640,8,0,1566,1566,1600,0,1600,0,2,0,3,7,1,3,890,0,56,0,7,2009,256300
26,20,60,5,7,1951,2000,0,19,486,180,900,900,0,900,0,1,0,3,5,0,2,576,222,32,0,5,2010,134800
27,20,98,8,5,2007,2008,200,386,0,486,1704,1704,0,1704,1,2,0,3,7,1,3,772,0,50,0,5,2010,306000
28,20,47,5,6,1957,1997,0,21,0,207,1484,1600,0,1600,1,1,0,2,6,2,1,319,288,258,0,12,2006,207500
29,30,60,4,6,1927,1950,0,8,0,520,520,520,0,520,0,1,0,1,4,0,1,240,49,0,87,5,2008,68500
30,70,50,4,4,1920,1950,0,8,0,649,649,649,668,1317,0,1,0,3,6,0,1,250,0,54,172,7,2008,40000
31,20,0,5,6,1966,2006,0,8,0,1228,1228,1228,0,1228,0,1,1,3,6,0,1,271,0,65,0,6,2008,149350
32,20,85,8,5,2007,2007,0,8,0,1234,1234,1234,0,1234,0,2,0,3,7,0,2,484,0,30,0,1,2008,179900
33,20,70,5,5,1959,1959,0,22,0,380,1398,1700,0,1700,0,1,1,4,6,1,2,447,0,38,0,4,2010,165500
34,120,60,9,5,2005,2005,246,23,0,408,1561,1561,0,1561,1,2,0,2,6,1,2,556,203,47,0,8,2007,277500
35,60,108,8,5,2004,2005,132,8,0,1117,1117,1132,1320,2452,0,3,1,4,9,1,3,691,113,32,0,9,2006,309000
36,20,112,5,5,1994,1995,0,8,0,1097,1097,1097,0,1097,0,1,1,3,6,0,2,672,392,64,0,6,2009,145000
37,20,74,5,6,1954,1990,650,55,0,84,1297,1297,0,1297,0,1,0,3,5,1,2,498,0,0,0,10,2009,153000
38,20,68,5,7,1953,2007,0,627,0,326,1057,1057,0,1057,1,1,0,3,5,0,1,246,0,52,0,1,2010,109000
39,90,65,4,5,1955,1955,0,8,0,0,0,1152,0,1152,0,2,0,2,6,0,0,0,0,0,0,6,2008,82000
40,20,84,6,5,1965,1965,101,26,0,445,1088,1324,0,1324,0,2,0,3,6,1,2,440,0,138,0,12,2006,160000
41,20,115,5,6,1959,1959,0,551,0,383,1350,1328,0,1328,0,1,1,2,5,2,1,308,0,104,0,7,2007,170000
42,85,0,5,7,1983,1983,0,435,93,0,840,884,0,884,1,1,0,2,5,0,2,504,240,0,0,12,2007,144000
