,LotShape,Neighborhood,OverallQual,Exterior2nd,MasVnrType,ExterQual,BsmtExposure,BsmtFinSF1,BsmtUnfSF,1stFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenQual,Fireplaces,GarageArea,WoodDeckSF,MoSold,YrSold,SalePrice
0,0,0,7,0,4,0,4,8,150,856,2,1,3,0,0,548,0,2,2008,208500
1,0,1,6,1,1,1,1,1,284,1262,2,0,3,1,1,460,298,5,2007,181500
2,1,0,7,0,4,0,2,329,434,920,2,1,3,0,1,608,0,9,2008,223500
3,1,2,7,2,1,1,4,3,540,961,1,0,3,0,1,642,0,2,2006,140000
4,1,3,8,0,4,0,3,4,490,1145,2,1,4,0,1,836,192,12,2008,250000
5,1,4,5,0,1,1,4,5,64,796,1,1,1,1,0,480,40,10,2009,143000
6,0,5,8,0,2,0,3,6,317,1694,2,0,3,0,1,636,255,8,2007,307000
7,1,6,7,3,2,1,2,7,216,1107,2,1,3,1,2,484,235,11,2009,200000
8,0,7,7,2,1,1,4,8,952,1022,2,0,2,1,2,468,90,4,2008,129900
9,0,8,5,1,1,1,4,9,140,1077,1,0,2,1,2,205,0,1,2008,118000
10,0,9,5,3,1,1,4,10,134,1040,1,0,3,1,0,384,0,2,2008,129500
11,1,10,9,2,2,2,4,11,177,1182,3,0,4,2,2,736,147,7,2006,345000
12,2,9,5,4,1,1,4,12,175,912,1,0,2,1,0,352,140,9,2008,144000
13,1,0,7,0,2,0,3,8,1494,1494,2,0,3,0,1,840,160,8,2007,279500
14,1,11,6,1,4,1,4,13,520,1253,1,1,2,1,1,352,0,5,2008,157000
15,0,8,7,5,1,1,4,8,832,854,1,0,2,1,0,576,48,7,2007,132000
16,1,11,6,5,4,1,4,14,426,1004,1,0,2,1,1,480,0,3,2010,149000
17,0,9,4,1,1,1,4,8,0,1296,2,0,2,1,0,516,0,10,2006,90000
18,0,12,5,0,1,1,4,15,468,1114,1,1,3,0,0,576,0,6,2008,159000
19,0,11,5,4,1,1,4,297,525,1339,1,0,3,1,0,294,0,5,2009,139000
20,1,10,8,0,4,0,3,8,1158,1158,3,1,4,0,1,853,240,11,2006,325300
21,0,13,7,5,1,1,4,8,637,1108,1,0,3,0,1,280,0,6,2007,139400
22,0,0,8,0,4,0,4,8,1777,1795,2,0,3,0,1,534,171,9,2008,230000
23,0,14,5,6,1,1,4,17,200,1060,1,0,3,1,1,572,100,6,2007,129900
24,1,9,5,4,1,1,2,18,204,1060,1,0,3,0,1,270,406,5,2010,154000
25,0,10,8,0,2,0,4,8,1566,1600,2,0,3,0,1,890,0,7,2009,256300
26,0,11,5,5,1,1,2,19,180,900,1,0,3,0,0,576,222,5,2010,134800
27,0,10,8,0,2,0,4,386,486,1704,2,0,3,0,1,772,0,5,2010,306000
28,1,11,5,1,1,1,1,21,207,1600,1,0,2,1,2,319,288,12,2006,207500
29,1,8,4,1,1,1,4,8,520,520,1,0,1,3,0,240,49,5,2008,68500
30,0,13,4,7,1,1,4,8,649,649,1,0,3,1,0,250,0,7,2008,40000
31,1,9,5,3,1,1,4,8,1228,1228,1,1,3,0,0,271,0,6,2008,149350
32,0,0,8,0,1,0,3,8,1234,1234,2,0,3,0,0,484,0,1,2008,179900
33,1,11,5,7,1,1,4,22,380,1700,1,1,4,0,1,447,0,4,2010,165500
34,0,10,9,1,4,2,4,23,408,1561,2,0,2,2,1,556,203,8,2007,277500
35,0,10,8,0,2,0,3,8,1117,1132,3,1,4,0,1,691,113,9,2006,309000
36,0,0,5,0,1,1,4,8,1097,1097,1,1,3,1,0,672,392,6,2009,145000
37,0,11,5,5,4,1,4,55,84,1297,1,0,3,1,1,498,0,10,2009,153000
38,0,11,5,0,1,1,4,627,326,1057,1,0,3,0,0,246,0,1,2010,109000
39,0,15,4,4,1,1,4,8,0,1152,2,0,2,3,0,0,0,6,2008,82000
40,0,11,6,5,4,1,4,26,445,1324,2,0,3,1,1,440,0,12,2006,160000
41,0,16,5,0,1,1,1,551,383,1328,1,1,2,1,2,308,0,7,2007,170000
42,1,12,5,3,1,1,3,435,0,884,1,0,2,0,0,504,240,12,2007,144000
43,1,0,5,0,1,1,3,29,167,938,1,0,3,1,0,308,145,7,2008,130250
44,0,11,5,5,1,1,4,30,465,1150,1,0,3,1,0,300,0,5,2006,141000
45,0,10,9,1,4,2,4,31,1296,1752,2,0,2,2,1,576,196,2,2010,319900
