,MSSubClass,MSZoning,LotFrontage,LotShape,LotConfig,Neighborhood,OverallQual,OverallCond,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,HeatingQC,1stFlrSF,2ndFlrSF,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SaleCondition,SalePrice
0,60,0,65,0,0,0,7,5,0,0,0,4,0,0,3,4,5,8,150,0,856,854,1,2,1,3,0,8,0,0,4,3,2,548,0,61,2,2008,0,208500
1,20,0,80,0,1,1,6,8,0,1,1,1,1,1,3,1,1,1,284,0,1262,0,0,2,0,3,1,6,1,1,4,3,2,460,298,0,5,2007,0,181500
2,60,0,68,1,0,0,7,5,0,0,0,4,0,0,3,2,5,329,434,0,920,866,1,2,1,3,0,6,1,1,4,3,2,608,0,42,9,2008,0,223500
3,70,0,60,1,2,2,7,5,0,2,2,1,1,2,1,4,1,3,540,1,961,756,1,1,0,3,0,7,1,2,1,1,3,642,0,35,2,2006,1,140000
4,60,0,84,1,1,3,8,5,0,0,0,4,0,0,3,3,5,4,490,0,1145,1053,1,2,1,4,0,9,1,1,4,3,3,836,192,84,12,2008,0,250000
5,50,0,85,1,0,4,5,5,0,0,0,1,1,3,3,4,5,5,64,0,796,566,1,1,1,1,1,5,0,0,4,1,2,480,40,30,10,2009,0,143000
6,20,0,75,0,0,5,8,5,0,0,0,2,0,0,2,3,5,6,317,0,1694,0,1,2,0,3,0,7,1,2,4,3,2,636,255,57,8,2007,0,307000
7,60,0,0,1,2,6,7,6,0,3,3,2,1,1,3,2,1,7,216,0,1107,983,1,2,1,3,1,7,2,1,4,3,2,484,235,204,11,2009,0,200000
8,50,1,51,0,0,7,7,5,0,4,2,1,1,2,1,4,2,8,952,1,1022,752,0,2,0,2,1,8,2,1,1,1,2,468,90,0,4,2008,1,129900
9,190,0,50,0,2,8,5,6,0,1,1,1,1,2,1,4,5,9,140,0,1077,0,1,1,0,2,1,5,2,1,4,3,1,205,0,4,1,2008,0,118000
10,20,0,70,0,0,9,5,5,1,3,3,1,1,1,1,4,3,10,134,0,1040,0,1,1,0,3,1,5,0,0,1,1,1,384,0,0,2,2008,0,129500
11,60,0,85,1,0,10,9,5,1,5,2,2,2,0,2,4,5,11,177,0,1182,1142,1,3,0,4,2,11,2,2,2,2,3,736,147,21,7,2006,2,345000
12,20,0,0,2,0,9,5,6,1,3,4,1,1,1,1,4,1,12,175,2,912,0,1,1,0,2,1,4,0,0,1,1,1,352,140,0,9,2008,0,144000
13,20,0,91,1,0,0,7,5,0,0,0,2,0,0,3,3,2,8,1494,0,1494,0,0,2,0,3,0,7,1,2,4,3,3,840,160,33,8,2007,2,279500
14,20,0,0,1,2,11,6,5,1,1,1,4,1,1,1,4,4,13,520,2,1253,0,1,1,1,2,1,5,1,3,4,3,1,352,0,213,5,2008,0,157000
15,45,1,51,0,2,8,7,8,0,2,5,1,1,2,1,4,2,8,832,0,854,0,0,1,0,2,1,5,0,0,1,1,2,576,48,112,7,2007,0,132000
16,20,0,0,1,3,11,6,7,0,2,5,4,1,1,1,4,1,14,426,0,1004,0,1,1,0,2,1,5,1,1,4,2,2,480,0,0,3,2010,0,149000
17,90,0,72,0,0,9,4,5,0,1,1,1,1,4,3,4,5,8,0,2,1296,0,0,2,0,2,1,6,0,0,3,1,2,516,0,0,10,2006,0,90000
18,20,0,66,0,0,12,5,5,0,0,0,1,1,0,1,4,5,15,468,0,1114,0,1,1,1,3,0,6,0,0,1,1,2,576,0,102,6,2008,0,159000
19,20,0,70,0,0,11,5,6,1,4,4,1,1,1,1,4,6,297,525,2,1339,0,0,1,0,3,1,6,0,0,4,1,1,294,0,0,5,2009,1,139000
20,60,0,101,1,2,10,8,5,0,0,0,4,0,0,2,3,2,8,1158,0,1158,1218,0,3,1,4,0,9,1,2,2,3,3,853,240,154,11,2006,2,325300
21,45,1,57,0,0,13,7,7,0,2,5,1,1,0,1,4,2,8,637,0,1108,0,0,1,0,3,0,6,1,2,4,1,1,280,0,0,6,2007,0,139400
22,20,0,75,0,0,0,8,5,1,0,0,4,0,0,3,4,2,8,1777,0,1795,0,0,2,0,3,0,7,1,2,4,3,2,534,171,159,9,2008,0,230000
23,120,1,44,0,0,14,5,7,0,6,6,1,1,0,3,4,5,17,200,2,1060,0,1,1,0,3,1,6,1,1,4,1,2,572,100,110,6,2007,0,129900
24,20,0,0,1,0,9,5,8,0,7,4,1,1,1,1,2,3,18,204,0,1060,0,1,1,0,3,0,6,1,1,4,1,1,270,406,90,5,2010,0,154000
25,20,0,110,0,2,10,8,5,0,0,0,2,0,0,3,4,2,8,1566,0,1600,0,0,2,0,3,0,7,1,2,4,3,3,890,0,56,7,2009,0,256300
26,20,0,60,0,2,11,5,7,0,2,5,1,1,1,1,2,4,19,180,2,900,0,0,1,0,3,0,5,0,0,1,1,2,576,222,32,5,2010,0,134800
27,20,0,98,0,0,10,8,5,0,0,0,2,0,0,2,4,5,386,486,0,1704,0,1,2,0,3,0,7,1,2,4,3,3,772,0,50,5,2010,0,306000
28,20,0,47,1,3,11,5,6,0,1,1,1,1,1,1,1,4,21,207,2,1600,0,1,1,0,2,1,6,2,2,4,3,1,319,288,258,12,2006,0,207500
29,30,1,60,1,0,8,4,6,0,1,1,1,1,2,1,4,2,8,520,3,520,0,0,1,0,1,3,4,0,0,1,1,1,240,49,0,5,2008,0,68500
30,70,2,50,0,0,13,4,4,2,4,7,1,1,2,1,4,2,8,649,2,649,668,0,1,0,3,1,6,0,0,1,1,1,250,0,54,7,2008,0,40000
31,20,0,0,1,3,9,5,6,0,3,3,1,1,1,1,4,2,8,1228,1,1228,0,0,1,1,3,0,6,0,0,4,1,1,271,0,65,6,2008,0,149350
32,20,0,85,0,2,0,8,5,0,0,0,1,0,0,2,3,2,8,1234,0,1234,0,0,2,0,3,0,7,0,0,4,3,2,484,0,30,1,2008,0,179900
33,20,0,70,1,0,11,5,5,1,4,7,1,1,1,1,4,3,22,380,1,1700,0,0,1,1,4,0,6,1,2,4,3,2,447,0,38,4,2010,0,165500
34,120,0,60,0,0,10,9,5,1,1,1,4,2,0,2,4,5,23,408,0,1561,0,1,2,0,2,2,6,1,2,4,2,2,556,203,47,8,2007,0,277500
35,60,0,108,0,0,10,8,5,0,0,0,2,0,0,2,3,2,8,1117,0,1132,1320,0,3,1,4,0,9,1,2,2,2,3,691,113,32,9,2006,0,309000
36,20,0,112,0,2,0,5,5,0,0,0,1,1,0,3,4,2,8,1097,0,1097,0,0,1,1,3,1,6,0,0,4,1,2,672,392,64,6,2009,0,145000
37,20,0,74,0,0,11,5,6,1,2,5,4,1,1,1,4,3,55,84,1,1297,0,0,1,0,3,1,5,1,1,4,2,2,498,0,0,10,2009,0,153000
38,20,0,68,0,0,11,5,7,0,0,0,1,1,1,1,4,5,627,326,2,1057,0,1,1,0,3,0,5,0,0,1,1,1,246,0,52,1,2010,1,109000
39,90,0,65,0,0,15,4,5,0,8,4,1,1,0,3,4,5,8,0,2,1152,0,0,2,0,2,3,6,0,0,4,3,0,0,0,0,6,2008,3,82000
40,20,0,84,0,0,11,6,5,0,2,5,4,1,1,1,4,3,26,445,0,1324,0,0,2,0,3,1,6,1,1,4,3,2,440,0,138,12,2006,1,160000
41,20,0,115,0,0,16,5,6,0,0,0,1,1,1,1,1,4,551,383,1,1328,0,0,1,1,2,1,5,2,2,4,3,1,308,0,104,7,2007,0,170000
42,85,0,0,1,3,12,5,7,0,3,3,1,1,1,3,3,1,435,0,1,884,0,1,1,0,2,0,5,0,0,4,3,2,504,240,0,12,2007,0,144000
43,20,0,0,1,3,0,5,6,1,0,0,1,1,1,3,3,6,29,167,2,938,0,1,1,0,3,1,5,0,0,1,1,1,308,145,0,7,2008,0,130250
44,20,0,70,0,0,11,5,6,0,4,5,1,1,1,1,4,1,30,465,0,1150,0,1,1,0,3,1,6,0,0,4,3,1,300,0,0,5,2006,0,141000
45,120,0,61,0,0,10,9,5,1,1,1,4,2,0,2,4,5,31,1296,0,1752,0,1,2,0,2,2,6,1,2,4,3,2,576,196,82,2,2010,0,319900
46,50,0,48,1,3,4,7,5,0,0,0,1,0,0,2,4,5,32,83,0,1518,631,1,1,1,1,0,6,1,4,4,3,2,670,168,43,8,2009,1,239686
47,20,3,84,0,0,5,8,5,0,0,0,1,0,0,3,3,5,55,1632,0,1656,0,0,2,0,3,0,7,0,0,4,3,3,826,0,146,7,2007,0,249700
48,190,1,33,0,0,7,4,5,0,1,1,1,1,2,1,4,2,8,736,1,736,716,0,2,0,2,1,8,0,0,4,3,0,0,0,0,6,2009,2,113000
49,20,0,66,0,0,9,5,7,0,3,3,1,1,1,1,4,4,34,192,0,955,0,1,1,0,3,1,6,0,0,4,1,1,386,0,0,1,2007,0,127000
50,60,0,0,2,2,17,6,6,0,0,0,1,1,0,3,3,5,226,612,1,794,676,0,2,0,3,1,6,0,0,4,2,2,388,0,75,7,2007,0,177000
51,50,1,52,0,0,8,6,6,0,2,5,1,1,0,1,4,2,8,816,2,816,0,0,1,0,3,1,6,1,2,1,1,2,528,112,0,9,2006,0,114500
52,90,1,110,2,2,13,5,5,0,2,5,1,3,1,3,1,6,136,0,2,816,0,1,1,0,2,1,5,0,0,3,1,2,516,106,0,5,2010,0,110000
53,20,0,68,1,0,1,9,5,0,5,2,1,0,1,2,1,5,37,32,1,1842,0,2,0,1,0,0,5,1,2,4,2,3,894,857,72,11,2006,0,385000
54,80,0,60,0,0,11,5,5,0,1,1,1,1,1,1,4,1,38,0,2,1360,0,0,1,0,3,1,6,1,1,1,1,2,572,0,50,2,2007,0,130000
55,20,0,100,1,0,11,6,5,0,3,4,4,1,1,1,4,4,39,935,1,1425,0,0,2,0,3,1,7,1,2,4,3,2,576,0,0,7,2008,0,180500
56,160,3,24,0,0,5,8,5,0,1,1,4,0,0,3,4,5,199,321,0,983,756,1,2,1,3,0,7,0,0,4,2,2,480,115,0,8,2009,1,172500
57,60,0,89,1,2,0,7,5,0,0,0,1,0,0,3,4,2,8,860,0,860,860,0,2,1,3,0,7,0,0,4,3,2,565,0,70,8,2006,0,196500
58,60,0,66,2,3,18,10,5,1,0,0,4,2,0,2,1,2,8,1410,0,1426,1519,0,3,1,3,0,10,1,2,2,2,3,641,192,0,10,2006,2,438780
59,20,0,60,0,0,0,5,7,0,3,3,1,1,1,1,3,1,355,148,0,780,0,0,1,0,2,1,4,0,0,1,1,1,352,196,0,1,2008,0,124900
60,20,0,63,0,0,12,6,5,0,0,0,1,1,0,3,4,1,42,217,0,1158,0,1,1,1,3,0,5,0,0,1,1,2,576,0,50,5,2006,2,158000
61,75,1,60,0,0,13,5,7,0,1,1,1,1,2,1,4,2,8,530,2,581,530,0,1,0,3,3,6,0,0,1,1,1,288,0,0,3,2007,0,101000
62,120,0,44,1,0,10,8,5,0,0,0,2,0,0,3,2,5,55,1346,0,1370,0,0,2,0,2,0,6,1,2,4,3,2,484,120,49,10,2007,0,202500
63,70,1,50,1,0,7,7,6,0,9,8,1,1,2,1,4,2,8,576,1,902,808,0,2,0,3,1,9,0,0,1,1,2,480,12,11,4,2010,0,140000
64,60,0,0,0,0,0,7,5,0,0,0,4,1,0,3,4,5,43,318,0,1057,977,1,2,1,3,0,8,0,0,4,3,2,645,576,36,2,2009,0,219500
65,60,0,76,0,0,10,8,5,0,0,0,4,0,0,2,3,2,8,1143,0,1143,1330,0,2,1,4,0,9,1,2,2,3,3,852,192,151,10,2007,0,317000
66,20,0,0,0,0,11,7,5,0,7,4,4,1,1,3,1,5,44,1035,2,2207,0,1,2,0,3,1,7,1,2,4,3,2,576,301,0,7,2010,0,180000
67,20,0,72,1,0,0,7,5,0,0,0,4,0,0,3,3,5,45,440,0,1479,0,1,2,0,3,0,7,0,0,4,3,2,558,144,29,6,2007,0,226000
68,30,1,47,0,2,7,4,6,0,1,1,1,1,1,1,4,2,8,747,2,747,0,0,1,0,2,1,4,0,0,4,1,1,220,0,0,6,2010,0,80000
69,50,0,81,0,2,19,7,4,0,4,9,1,0,1,1,4,4,46,701,2,1304,983,0,2,0,3,1,7,1,1,4,2,2,667,0,21,7,2006,0,225000
70,20,0,95,1,0,11,7,6,0,7,4,4,1,1,3,1,1,47,343,0,2223,0,1,2,0,3,1,8,2,2,4,2,2,516,300,0,2,2007,0,244000
71,20,0,69,0,2,4,4,6,0,3,4,1,1,1,1,4,1,540,280,2,845,0,1,1,0,2,1,4,0,0,1,1,2,360,0,0,6,2007,0,129500
72,60,0,74,1,2,17,7,5,0,0,0,4,1,0,3,4,2,8,832,1,885,833,0,2,1,3,1,7,1,1,4,2,2,427,0,94,12,2009,0,185000
73,20,0,85,0,0,11,5,7,0,2,5,4,1,1,1,4,1,635,404,1,1086,0,1,1,0,3,1,6,0,0,4,1,2,490,0,0,5,2010,0,144900
74,50,1,60,0,2,7,3,6,2,0,0,1,0,1,4,4,2,8,840,1,840,765,0,2,0,3,1,8,0,0,1,1,1,379,0,0,5,2010,0,107400
75,180,1,21,0,0,14,4,5,0,6,6,1,1,1,3,1,5,245,0,2,526,462,1,1,0,2,1,5,0,0,2,1,1,297,120,101,11,2009,0,91000
76,20,0,0,1,0,11,4,7,0,0,0,1,1,1,1,4,1,51,724,0,952,0,0,1,0,2,1,4,0,0,1,1,1,283,0,0,4,2008,0,135750
77,50,1,50,0,0,8,5,5,0,2,5,1,1,1,1,4,4,52,295,2,1072,213,1,1,0,2,1,6,0,0,1,1,1,240,0,0,1,2008,0,127000
78,90,0,72,0,0,9,4,5,1,3,3,1,1,1,1,4,2,8,1768,2,1768,0,0,2,0,4,1,8,0,0,4,3,0,0,0,0,4,2010,0,136500
79,50,1,60,0,2,7,5,6,0,2,5,1,1,0,1,4,2,8,440,1,682,548,0,1,1,2,1,5,0,0,1,1,2,440,74,0,5,2009,0,110000
80,60,0,100,0,2,11,6,6,0,0,0,4,1,1,3,4,3,53,448,2,1182,960,0,2,1,4,0,8,1,2,4,2,1,509,0,72,6,2009,0,193500
81,120,1,32,0,1,4,6,5,1,0,0,4,1,0,2,4,5,54,36,0,1337,0,1,2,0,2,1,5,0,0,4,2,2,405,0,199,3,2006,0,153500
82,20,0,78,0,0,5,8,5,0,0,0,2,1,0,3,4,5,55,1530,0,1563,0,0,2,0,3,0,6,1,2,4,3,3,758,144,99,10,2008,0,245000
83,20,0,80,1,0,11,5,5,0,1,1,3,1,1,1,4,2,8,1065,1,1065,0,0,1,1,3,1,6,0,0,1,1,2,461,74,0,7,2007,0,126500
84,80,0,0,1,0,17,7,5,0,3,3,4,1,0,3,4,2,8,384,1,804,670,0,2,1,3,1,7,1,1,2,2,2,400,120,72,5,2009,0,168500
85,60,0,121,0,2,3,8,5,1,3,3,4,0,1,3,4,2,8,1288,0,1301,1116,0,2,1,4,0,9,1,1,4,1,2,462,127,82,4,2006,0,260000
86,60,0,122,2,0,17,6,5,0,0,0,1,0,0,3,3,2,8,684,0,684,876,0,2,1,3,0,6,1,2,2,2,2,400,100,38,3,2009,0,174000
87,160,3,40,0,2,5,6,5,0,0,0,2,0,0,3,3,2,8,612,0,612,612,0,2,1,2,0,4,0,0,1,3,2,528,0,234,6,2009,2,164500
88,50,2,105,1,2,13,3,2,1,7,4,1,3,1,1,4,2,8,1013,2,1013,0,0,1,0,2,3,6,0,0,4,3,0,0,0,0,10,2009,1,85000
89,20,0,60,0,0,0,4,5,0,0,0,1,1,0,3,4,5,313,402,0,990,0,1,1,0,3,1,5,0,0,4,3,0,0,0,0,8,2007,0,123600
