,MSSubClass,MSZoning,LotFrontage,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,60,0,65,0,0,0,0,0,0,0,7,5,2003,2003,0,0,0,4,196,0,0,0,3,2,4,5,8,2,0,150,856,0,5,856,854,1710,1,0,2,1,3,0,8,0,0,4,3,2,548,0,0,61,0,0,0,2,2008,0,0,208500
1,20,0,80,0,0,1,1,1,0,1,6,8,1976,1976,0,1,1,1,0,1,0,1,3,2,1,1,1,2,0,284,1262,0,5,1262,0,1262,0,1,2,0,3,1,6,1,1,4,3,2,460,0,298,0,0,0,0,5,2007,0,0,181500
2,60,0,68,1,0,0,0,0,0,0,7,5,2001,2002,0,0,0,4,162,0,0,0,3,2,2,5,329,2,0,434,920,0,5,920,866,1786,1,0,2,1,3,0,6,1,1,4,3,2,608,0,0,42,0,0,0,9,2008,0,0,223500
3,70,0,60,1,0,2,2,0,0,0,7,5,1915,1970,0,2,2,1,0,1,0,2,1,1,4,1,3,2,0,540,756,1,5,961,756,1717,1,0,1,0,3,0,7,1,2,1,1,3,642,0,0,35,272,0,0,2,2006,0,1,140000
4,60,0,84,1,0,1,3,0,0,0,8,5,2000,2000,0,0,0,4,350,0,0,0,3,2,3,5,4,2,0,490,1145,0,5,1145,1053,2198,1,0,2,1,4,0,9,1,1,4,3,3,836,0,192,84,0,0,0,12,2008,0,0,250000
5,50,0,85,1,0,0,4,0,0,2,5,5,1993,1995,0,0,0,1,0,1,0,3,3,2,4,5,5,2,0,64,796,0,5,796,566,1362,1,0,1,1,1,1,5,0,0,4,1,2,480,0,40,30,0,0,1,10,2009,0,0,143000
6,20,0,75,0,0,0,5,0,0,1,8,5,2004,2005,0,0,0,2,186,0,0,0,2,2,3,5,6,2,0,317,1686,0,5,1694,0,1694,1,0,2,0,3,0,7,1,2,4,3,2,636,0,255,57,0,0,0,8,2007,0,0,307000
7,60,0,0,1,0,2,6,2,0,0,7,6,1973,1973,0,3,3,2,240,1,0,1,3,2,2,1,7,1,32,216,1107,0,5,1107,983,2090,1,0,2,1,3,1,7,2,1,4,3,2,484,0,235,204,228,0,0,11,2009,0,0,200000
8,50,1,51,0,0,0,7,3,0,2,7,5,1931,1950,0,4,2,1,0,1,0,2,1,2,4,2,8,2,0,952,952,1,1,1022,752,1774,0,0,2,0,2,1,8,2,1,1,1,2,468,0,90,0,205,0,0,4,2008,0,1,129900
9,190,0,50,0,0,2,8,3,1,3,5,6,1939,1950,0,1,1,1,0,1,0,2,1,2,4,5,9,2,0,140,991,0,5,1077,0,1077,1,0,1,0,2,1,5,2,1,4,3,1,205,0,0,4,0,0,0,1,2008,0,0,118000
10,20,0,70,0,0,0,9,0,0,1,5,5,1965,1965,1,3,3,1,0,1,0,1,1,2,4,3,10,2,0,134,1040,0,5,1040,0,1040,1,0,1,0,3,1,5,0,0,1,1,1,384,0,0,0,0,0,0,2,2008,0,0,129500
