,Actual,Prediction
886,3,4
1052,4,4
467,3,4
326,7,4
819,5,5
1414,5,4
1001,2,3
63,3,3
242,2,3
926,6,6
288,3,3
1127,6,5
1207,5,5
263,3,3
997,4,4
896,3,3
784,3,3
374,5,4
131,5,5
1194,4,3
1450,3,3
1150,3,3
65,7,6
7,5,4
64,5,4
1237,4,4
995,3,3
854,4,5
1287,4,4
252,4,4
436,3,3
1198,4,4
1320,4,4
1106,4,4
426,6,4
837,3,3
1117,3,4
920,5,4
136,3,4
497,4,3
306,5,4
770,3,3
350,7,4
388,4,5
255,5,4
309,8,7
782,4,4
423,7,6
45,7,6
693,3,3
68,2,3
574,3,3
1420,4,4
969,3,3
1252,3,3
752,5,5
351,4,4
1135,3,3
510,4,3
48,3,3
649,2,2
238,7,5
828,4,4
199,6,7
1012,4,3
298,4,4
1183,3,3
694,3,3
266,4,4
1373,10,8
502,3,3
246,3,3
1040,4,4
1078,4,3
412,5,4
163,3,3
356,4,4
1387,3,3
1079,3,3
265,4,4
1077,3,3
243,3,3
211,4,4
1082,4,5
542,5,4
1142,9,5
742,4,4
845,4,4
809,3,3
231,9,6
855,3,3
787,5,5
277,3,3
97,2,3
1290,4,4
1295,3,3
1157,5,5
578,3,4
791,3,4
162,5,5
817,6,4
1374,6,5
1431,3,3
1217,5,4
1261,3,3
362,4,4
1404,3,3
636,2,2
395,3,3
826,3,3
671,3,3
517,6,6
21,3,3
392,3,3
1229,3,3
1356,3,3
773,3,3
222,4,4
1316,6,5
234,5,5
1168,5,4
1029,3,3
1212,3,3
335,5,4
562,3,3
767,4,4
174,4,4
12,3,3
978,3,3
226,6,5
190,7,4
345,3,3
32,4,4
216,5,5
1223,3,3
871,5,5
905,3,3
171,5,4
1009,3,3
318,6,7
902,4,4
700,7,7
806,3,3
489,2,3
1013,2,3
1104,3,3
603,4,4
856,3,3
907,6,4
1122,3,3
1393,4,3
338,5,4
940,4,3
227,3,3
1176,3,3
404,4,4
1368,3,3
861,3,3
304,6,4
880,4,3
38,3,3
1428,3,3
1282,4,4
1444,4,5
1294,3,3
911,3,3
358,3,3
1178,4,3
1371,4,4
958,4,5
663,3,3
1028,3,3
925,4,4
887,3,4
841,4,4
481,8,6
1133,5,5
706,7,6
643,4,4
1204,4,3
139,5,5
689,4,4
143,5,5
571,3,3
1125,3,3
8,3,3
86,4,4
1396,4,4
1066,4,4
1017,4,4
660,4,4
422,3,3
1306,5,5
947,6,6
232,2,3
620,2,3
1448,3,2
19,3,3
761,3,3
11,7,4
1058,7,7
949,4,4
551,3,3
302,5,5
1354,5,5
1005,3,3
368,3,3
597,4,4
890,3,3
1030,4,3
815,5,5
569,3,3
917,3,3
378,8,6
1341,4,4
1037,6,5
683,6,6
437,3,3
1051,5,4
1075,5,3
389,9,7
1305,7,7
1363,4,4
986,3,3
1113,3,3
899,3,3
1004,4,4
1375,5,5
127,2,2
622,3,3
1279,2,3
980,4,3
67,5,5
723,3,3
634,3,3
1174,5,4
1331,3,3
503,6,3
103,4,4
1324,3,5
170,3,3
1415,4,4
140,3,3
1244,5,4
145,3,3
177,4,4
891,4,4
1128,5,4
384,5,5
849,4,4
1392,3,3
829,3,4
768,5,5
810,4,4
213,4,4
244,5,5
1377,3,3
1386,6,4
588,3,6
1015,5,4
843,3,3
117,4,4
1033,5,5
112,8,7
1336,3,3
1094,3,3
633,3,3
1148,3,3
1457,6,4
816,3,3
1319,3,3
778,3,3
51,3,3
732,5,5
381,4,4
541,5,5
1291,3,3
869,5,4
164,4,3
1129,3,3
1459,3,3
1266,3,3
1000,2,3
812,2,2
39,2,3
1380,2,2
460,6,4
879,3,3
777,3,3
1353,9,7
28,5,4
1383,3,3
