,LotShape,LotConfig,Neighborhood,OverallQual,Exterior1st,MasVnrType,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageFinish,GarageArea,MoSold,YrSold,SalePrice,SalePricev2
0,0,0,0,7,0,4,4,5,8,150,2,1,0,8,0,3,548,2,2008,208500,5
1,0,1,1,6,1,1,1,1,1,284,2,0,1,6,1,3,460,5,2007,181500,4
2,1,0,0,7,0,4,2,5,329,434,2,1,0,6,1,3,608,9,2008,223500,5
3,1,2,2,7,2,1,4,1,3,540,1,0,0,7,1,1,642,2,2006,140000,3
4,1,1,3,8,0,4,3,5,4,490,2,1,0,9,1,3,836,12,2008,250000,6
5,1,0,4,5,0,1,4,5,5,64,1,1,1,5,0,1,480,10,2009,143000,3
6,0,0,5,8,0,2,3,5,6,317,2,0,0,7,1,3,636,8,2007,307000,7
7,1,2,6,7,3,2,2,1,7,216,2,1,1,7,2,3,484,11,2009,200000,5
8,0,0,7,7,4,1,4,2,8,952,2,0,1,8,2,1,468,4,2008,129900,3
9,0,2,8,5,1,1,4,5,9,140,1,0,1,5,2,3,205,1,2008,118000,3
10,0,0,9,5,3,1,4,3,10,134,1,0,1,5,0,1,384,2,2008,129500,3
11,1,0,10,9,5,2,4,5,11,177,3,0,2,11,2,2,736,7,2006,345000,7
12,2,0,9,5,3,1,4,1,12,175,1,0,1,4,0,1,352,9,2008,144000,3
13,1,0,0,7,0,2,3,2,8,1494,2,0,0,7,1,3,840,8,2007,279500,6
14,1,2,11,6,1,4,4,4,13,520,1,1,1,5,1,3,352,5,2008,157000,4
15,0,2,8,7,2,1,4,2,8,832,1,0,1,5,0,1,576,7,2007,132000,3
16,1,3,11,6,2,4,4,1,14,426,1,0,1,5,1,2,480,3,2010,149000,3
17,0,0,9,4,1,1,4,5,8,0,2,0,1,6,0,1,516,10,2006,90000,2
18,0,0,12,5,0,1,4,5,15,468,1,1,0,6,0,1,576,6,2008,159000,4
19,0,0,11,5,4,1,4,6,297,525,1,0,1,6,0,1,294,5,2009,139000,3
20,1,2,10,8,0,4,3,2,8,1158,3,1,0,9,1,3,853,11,2006,325300,7
21,0,0,13,7,2,1,4,2,8,637,1,0,0,6,1,1,280,6,2007,139400,3
22,0,0,0,8,0,4,4,2,8,1777,2,0,0,7,1,3,534,9,2008,230000,5
23,0,0,14,5,6,1,4,5,17,200,1,0,1,6,1,1,572,6,2007,129900,3
24,1,0,9,5,7,1,2,3,18,204,1,0,0,6,1,1,270,5,2010,154000,4
25,0,2,10,8,0,2,4,2,8,1566,2,0,0,7,1,3,890,7,2009,256300,6
26,0,2,11,5,2,1,2,4,19,180,1,0,0,5,0,1,576,5,2010,134800,3
27,0,0,10,8,0,2,4,5,386,486,2,0,0,7,1,3,772,5,2010,306000,7
28,1,3,11,5,1,1,1,4,21,207,1,0,1,6,2,3,319,12,2006,207500,5
29,1,0,8,4,1,1,4,2,8,520,1,0,3,4,0,1,240,5,2008,68500,2
30,0,0,13,4,4,1,4,2,8,649,1,0,1,6,0,1,250,7,2008,40000,1
31,1,3,9,5,3,1,4,2,8,1228,1,1,0,6,0,1,271,6,2008,149350,3
32,0,2,0,8,0,1,3,2,8,1234,2,0,0,7,0,3,484,1,2008,179900,4
33,1,0,11,5,4,1,4,3,22,380,1,1,0,6,1,3,447,4,2010,165500,4
34,0,0,10,9,1,4,4,5,23,408,2,0,2,6,1,2,556,8,2007,277500,6
35,0,0,10,8,0,2,3,2,8,1117,3,1,0,9,1,2,691,9,2006,309000,7
36,0,2,0,5,0,1,4,2,8,1097,1,1,1,6,0,1,672,6,2009,145000,3
37,0,0,11,5,2,4,4,3,55,84,1,0,1,5,1,2,498,10,2009,153000,4
38,0,0,11,5,0,1,4,5,627,326,1,0,0,5,0,1,246,1,2010,109000,3
39,0,0,15,4,8,1,4,5,8,0,2,0,3,6,0,3,0,6,2008,82000,2
40,0,0,11,6,2,4,4,3,26,445,2,0,1,6,1,3,440,12,2006,160000,4
41,0,0,16,5,0,1,1,4,551,383,1,1,1,5,2,3,308,7,2007,170000,4
42,1,3,12,5,3,1,3,1,435,0,1,0,0,5,0,3,504,12,2007,144000,3
43,1,3,0,5,0,1,3,6,29,167,1,0,1,5,0,1,308,7,2008,130250,3
44,0,0,11,5,4,1,4,1,30,465,1,0,1,6,0,3,300,5,2006,141000,3
45,0,0,10,9,1,4,4,5,31,1296,2,0,2,6,1,3,576,2,2010,319900,7
46,1,3,4,7,0,1,4,5,32,83,1,1,0,6,1,3,670,8,2009,239686,5
47,0,0,5,8,0,1,3,5,55,1632,2,0,0,7,0,3,826,7,2007,249700,5
48,0,0,7,4,1,1,4,2,8,736,2,0,1,8,0,3,0,6,2009,113000,3
49,0,0,9,5,3,1,4,4,34,192,1,0,1,6,0,1,386,1,2007,127000,3
50,2,2,17,6,0,1,3,5,226,612,2,0,1,6,0,2,388,7,2007,177000,4
51,0,0,8,6,2,1,4,2,8,816,1,0,1,6,1,1,528,9,2006,114500,3
52,2,2,13,5,2,1,1,6,136,0,1,0,1,5,0,1,516,5,2010,110000,3
53,1,0,1,9,5,1,1,5,37,32,0,1,0,5,1,2,894,11,2006,385000,8
54,0,0,11,5,1,1,4,1,38,0,1,0,1,6,1,1,572,2,2007,130000,3
55,1,0,11,6,3,4,4,4,39,935,2,0,1,7,1,3,576,7,2008,180500,4
56,0,0,5,8,1,4,4,5,199,321,2,1,0,7,0,2,480,8,2009,172500,4
