,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SalePrice,SalePricev2
0,60,0,65,8450,0,0,0,0,7,5,2003,2003,0,0,0,4,196,0,4,5,8,2,0,150,856,0,5,856,854,1710,1,0,2,1,3,1,8,0,4,2003,3,2,548,0,61,0,0,0,0,0,0,0,2,2008,208500,5
1,20,0,80,9600,0,1,0,1,6,8,1976,1976,0,1,1,1,0,1,1,1,1,2,0,284,1262,0,5,1262,0,1262,0,1,2,0,3,1,6,1,4,1976,3,2,460,298,0,0,0,0,0,0,0,0,5,2007,181500,4
2,60,0,68,11250,1,0,0,0,7,5,2001,2002,0,0,0,4,162,0,2,5,329,2,0,434,920,0,5,920,866,1786,1,0,2,1,3,1,6,1,4,2001,3,2,608,0,42,0,0,0,0,0,0,0,9,2008,223500,5
3,70,0,60,9550,1,2,0,0,7,5,1915,1970,0,2,2,1,0,2,4,1,3,2,0,540,756,1,5,961,756,1717,1,0,1,0,3,1,7,1,1,1998,1,3,642,0,35,272,0,0,0,0,0,0,2,2006,140000,3
4,60,0,84,14260,1,1,0,0,8,5,2000,2000,0,0,0,4,350,0,3,5,4,2,0,490,1145,0,5,1145,1053,2198,1,0,2,1,4,1,9,1,4,2000,3,3,836,192,84,0,0,0,0,0,0,0,12,2008,250000,6
5,50,0,85,14115,1,0,0,2,5,5,1993,1995,0,0,0,1,0,3,4,5,5,2,0,64,796,0,5,796,566,1362,1,0,1,1,1,1,5,0,4,1993,1,2,480,40,30,0,320,0,0,1,1,700,10,2009,143000,3
6,20,0,75,10084,0,0,0,1,8,5,2004,2005,0,0,0,2,186,0,3,5,6,2,0,317,1686,0,5,1694,0,1694,1,0,2,0,3,1,7,1,4,2004,3,2,636,255,57,0,0,0,0,0,0,0,8,2007,307000,7
7,60,0,0,10382,1,2,0,0,7,6,1973,1973,0,3,3,2,240,1,2,1,7,1,32,216,1107,0,5,1107,983,2090,1,0,2,1,3,1,7,2,4,1973,3,2,484,235,204,228,0,0,0,0,1,350,11,2009,200000,5
8,50,1,51,6120,0,0,0,2,7,5,1931,1950,0,4,2,1,0,2,4,2,8,2,0,952,952,1,1,1022,752,1774,0,0,2,0,2,2,8,2,1,1931,1,2,468,90,0,205,0,0,0,0,0,0,4,2008,129900,3
9,190,0,50,7420,0,2,1,3,5,6,1939,1950,0,1,1,1,0,2,4,5,9,2,0,140,991,0,5,1077,0,1077,1,0,1,0,2,2,5,2,4,1939,3,1,205,0,4,0,0,0,0,0,0,0,1,2008,118000,3
