,Actual,Prediction
1397,3,3
1401,4,4
963,5,5
1166,5,6
185,10,7
1457,6,4
579,3,3
1361,6,5
714,3,4
1105,7,7
1278,5,5
1399,3,3
1328,6,3
1040,4,4
559,5,4
1137,2,3
4,6,6
494,2,3
1281,4,4
324,5,4
1419,5,4
1315,5,4
737,5,5
977,4,4
573,4,4
731,4,4
501,5,5
739,4,4
790,4,4
355,4,4
196,7,7
291,3,3
1332,3,3
609,3,3
870,3,3
499,3,3
1224,4,4
798,10,8
414,5,6
32,4,4
110,3,3
118,7,6
854,4,4
1391,3,3
234,5,5
232,2,2
151,8,7
166,4,4
1234,3,3
443,4,4
1076,4,3
1008,5,5
242,2,3
887,3,3
1258,4,4
69,5,5
932,7,6
1100,2,2
1186,2,3
20,7,7
930,5,5
241,3,2
1012,4,3
434,2,2
900,3,3
58,9,7
843,3,3
1233,3,3
191,4,4
193,3,3
294,4,4
789,4,4
597,4,4
1261,3,3
922,4,4
1168,5,5
888,6,6
969,3,3
1230,4,3
311,3,3
715,4,4
1135,3,3
161,9,7
521,4,3
999,5,4
885,7,6
21,3,3
218,7,4
54,3,3
437,3,3
1087,6,6
572,5,4
742,4,4
640,6,6
1187,6,6
1047,3,3
650,5,4
832,5,5
918,5,6
333,5,4
1321,2,3
844,4,3
358,3,3
954,3,3
753,6,6
205,4,4
269,3,3
1365,5,4
453,5,4
339,4,3
1429,4,4
1257,2,2
612,6,5
15,3,3
1355,4,4
298,4,4
502,3,3
1422,3,3
738,4,3
907,6,4
189,6,5
1228,8,7
902,4,4
797,3,3
164,4,3
88,2,3
791,3,3
807,5,3
296,4,3
535,3,3
1018,4,4
398,2,3
209,3,4
1420,4,4
751,4,4
195,3,3
1072,2,3
1253,6,5
630,3,3
1064,4,4
848,5,5
1192,3,3
70,5,5
563,4,3
796,3,4
730,5,6
662,3,4
689,4,4
66,4,5
71,3,3
1231,3,3
1358,4,4
996,3,3
227,3,2
1403,6,5
801,3,3
1447,5,5
873,3,3
323,3,3
598,5,4
301,6,6
909,4,4
602,5,5
812,2,3
1157,5,5
1452,3,3
382,5,5
8,3,3
1400,3,3
923,4,4
228,3,3
285,4,4
1210,4,4
1373,10,8
84,4,4
724,7,7
647,4,3
1302,6,7
723,3,3
63,3,4
389,9,7
1437,8,7
1314,3,3
931,3,3
896,3,3
1102,3,3
862,4,4
329,2,3
103,4,4
0,5,5
101,4,4
1421,3,3
884,3,3
64,5,5
1308,3,3
987,8,8
260,4,4
1134,4,4
866,5,6
449,3,3
1266,3,3
92,4,3
1426,6,5
727,4,4
249,6,4
510,4,3
1091,4,4
1291,3,3
474,6,6
29,2,2
159,7,6
841,4,3
334,4,4
940,4,4
1090,2,2
895,3,4
253,4,4
968,1,2
859,6,5
1025,3,3
130,5,4
2,5,5
1306,5,5
716,4,4
432,3,3
312,3,3
631,5,5
1108,4,4
1300,5,5
277,3,3
728,3,3
273,3,4
192,4,4
3,3,4
481,8,7
966,4,3
557,3,3
45,7,6
883,3,3
589,2,3
35,7,6
1368,3,3
1029,3,3
562,3,3
1275,3,3
335,5,4
575,3,3
87,4,4
178,11,8
1229,3,3
1372,6,5
1356,3,3
762,5,4
401,4,4
302,5,5
321,8,7
567,5,5
488,4,3
974,4,4
1320,4,4
1170,4,3
206,3,3
1274,3,3
869,5,5
256,5,4
77,3,3
1444,4,4
962,4,3
442,4,3
337,5,5
1201,4,5
299,4,3
478,6,7
396,3,3
538,4,3
44,3,3
1082,4,4
965,4,4
523,4,10
1208,3,3
1342,5,5
587,3,3
433,4,4
980,4,3
371,3,3
828,4,4
119,4,4
300,4,3
466,4,4
1059,5,4
1227,3,3
327,3,4
